Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,How soon after you wake up do you smoke your first cigarette?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,Cluster,PCA1,PCA2
0,1,1,1,8,0,0.7428526098106358,-0.4728609943396459
0,1,3,1,5,3,2.353343991648013,0.08686263863232574
0,1,2,0,6,3,1.802507685690752,-1.0355796766368508
0,1,2,1,7,3,1.4952191218223807,-0.2750099275647355
0,0,1,2,8,1,-0.8047651389199837,0.3723261744308787
0,0,1,2,8,1,-0.8047651389199837,0.3723261744308787
0,1,2,3,7,0,1.0921587097134127,1.5741725694237967
0,0,1,0,7,2,-0.29594636899712823,-1.312834823135503
0,1,3,1,8,3,2.036068918206351,-0.4052018596341269
0,1,3,1,6,3,2.2475856338341256,-0.07715886078982516
0,1,3,3,6,3,1.8445252217251575,1.7720236361987072
0,0,3,3,8,1,0.28692096342124773,1.3645765576306639
0,1,2,0,6,3,1.802507685690752,-1.0355796766368508
0,0,1,2,7,1,-0.6990067811060965,0.5363476738530296
0,0,1,0,9,2,-0.5074630846249026,-1.6408778219798046
0,0,1,2,8,1,-0.8047651389199837,0.3723261744308787
0,0,1,0,8,2,-0.4017047268110154,-1.4768563225576536
0,1,1,1,13,0,0.2140608207412002,-1.2929684914504003
0,1,2,0,7,3,1.6967493278768648,-1.1996011760590017
0,1,3,0,6,3,2.4491158398886097,-1.0017501092840915
0,1,2,0,7,3,1.6967493278768648,-1.1996011760590017
0,1,2,0,12,3,1.167957538807429,-2.019708673169756
0,0,1,0,10,2,-0.6132214424387897,-1.8048993214019555
0,1,1,0,1,0,1.6846913205623302,-0.2493017468788558
0,1,2,1,8,3,1.3894607640084935,-0.4390314269868864
0,1,3,0,8,3,2.2375991242608353,-1.3297931081283931
0,1,2,0,9,3,1.4852326122490904,-1.5276441749033034
0,0,0,2,8,1,-1.4513732931178414,0.3384966070781191
